year,boro_cd,total_recycled,total_refuse,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,fp_100_mhhi,pct_black_nh,pct_foreign_born,pct_hispanic,pct_white_nh,poverty_rate,unemployment_cd
2010-01-01,302,8514.4,25959.5,32.79878271923573,32.704315141972884,0.28885355603001095,0.09446757726284716,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2011-01-01,302,8804.199999999999,27845.300000000003,31.618262327933255,32.704315141972884,-3.320824207218398,-1.086052814039629,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2012-01-01,302,8272.800000000001,28218.3,29.317145256801442,32.704315141972884,-10.356950972577717,-3.387169885171442,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2013-01-01,302,8144.400000000002,28181.300000000007,28.900015258345075,32.704315141972884,-11.632409567706715,-3.8042998836278095,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2014-01-01,302,8694.500000000002,28890.4,30.094771965774104,32.704315141972884,-7.979201413851589,-2.6095431761987804,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2015-01-01,302,9288.0,28737.6,32.32002672456991,32.704315141972884,-1.1750388770862208,-0.3842884174029777,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2016-01-01,302,9769.0,28514.499999999996,34.25976257693454,32.704315141972884,4.756092363375575,1.555447434961657,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2017-01-01,302,10345.4,28736.599999999995,36.000779493746656,32.704315141972884,10.079600619867657,3.2964643517737713,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2018-01-01,302,10864.3,29347.2,37.01988605386544,32.704315141972884,13.195723234558532,4.315570911892557,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2019-01-01,302,9376.699999999999,25557.300000000003,36.6889303643186,32.704315141972884,12.18375986486211,3.9846152223457167,119000.0,26.6,19.6,14.8,44.9,11.0,5.1
2009-01-01,303,5604.8,48575.80000000001,11.53825567463634,11.53825567463634,0.0,0.0,,51.1,19.9,19.3,24.3,21.2,6.8
2010-01-01,303,5470.8,47469.40000000001,11.524898144910194,11.53825567463634,-0.11576732309293014,-0.01335752972614479,,51.1,19.9,19.3,24.3,21.2,6.8
2011-01-01,303,5412.900000000001,50761.399999999994,10.663417478635344,11.53825567463634,-7.582066307683622,-0.8748381960009954,,51.1,19.9,19.3,24.3,21.2,6.8
2012-01-01,303,5280.100000000001,49006.3,10.774329014840951,11.53825567463634,-6.620815843721239,-0.7639266597953878,,51.1,19.9,19.3,24.3,21.2,6.8
2013-01-01,303,5581.599999999999,48385.4,11.535711185605575,11.53825567463634,-0.022052631719349236,-0.0025444890307646517,,51.1,19.9,19.3,24.3,21.2,6.8
2014-01-01,303,6017.600000000001,47603.7,12.641034205324381,11.53825567463634,9.557584454573975,1.1027785306880418,,51.1,19.9,19.3,24.3,21.2,6.8
2015-01-01,303,6711.599999999999,46844.4,14.327432948228601,11.53825567463634,24.173300993177826,2.789177273592262,,51.1,19.9,19.3,24.3,21.2,6.8
2016-01-01,303,7566.9000000000015,47243.7,16.01673873976848,11.53825567463634,38.8142124028058,4.478483065132142,,51.1,19.9,19.3,24.3,21.2,6.8
2017-01-01,303,8081.800000000001,48421.9,16.69038183136143,11.53825567463634,44.65255669494841,5.152126156725092,,51.1,19.9,19.3,24.3,21.2,6.8
2018-01-01,303,8640.3,49720.2,17.377846428614525,11.53825567463634,50.61068950668957,5.839590753978186,,51.1,19.9,19.3,24.3,21.2,6.8
2019-01-01,303,7544.299999999998,41473.799999999996,18.19052028027333,11.53825567463634,57.65398855097441,6.65226460563699,,51.1,19.9,19.3,24.3,21.2,6.8
2009-01-01,304,4979.8,39339.1,12.658652587374903,12.658652587374903,0.0,0.0,,18.9,32.9,56.9,17.1,24.8,7.2
2010-01-01,304,4856.0,38703.0,12.546830995013305,12.658652587374903,-0.8833609390080155,-0.11182159236159706,,18.9,32.9,56.9,17.1,24.8,7.2
2011-01-01,304,4994.100000000001,40630.2,12.291595906493203,12.658652587374903,-2.8996504829256753,-0.3670566808816993,,18.9,32.9,56.9,17.1,24.8,7.2
2012-01-01,304,4905.200000000001,38891.6,12.61249215768958,12.658652587374903,-0.36465515872803334,-0.04616042968532241,,18.9,32.9,56.9,17.1,24.8,7.2
2013-01-01,304,5108.500000000001,38067.4,13.419618886501313,12.658652587374903,6.011432053087229,0.7609662991264106,,18.9,32.9,56.9,17.1,24.8,7.2
2014-01-01,304,5370.5,37018.5,14.507611059335195,12.658652587374903,14.60628182342527,1.8489584719602927,,18.9,32.9,56.9,17.1,24.8,7.2
2015-01-01,304,5680.900000000001,35727.0,15.900859294091305,12.658652587374903,25.61257356845399,3.242206706716402,,18.9,32.9,56.9,17.1,24.8,7.2
