MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID,year,total_recycled,percent_recycled,borough_code
2012-08-01,Queens,10,4015.2,408.9,379.5,,,,,4,2012,788.4,0.19635385534967126,410
2011-01-01,Queens,10,3386.5,344.4,308.5,,,,,4,2011,652.9,0.1927949210098922,410
2013-10-01,Queens,10,3785.4,375.3,344.0,,,,,4,2013,719.3,0.19001954879272995,410
2015-11-01,Queens,10,3271.0,369.4,376.6,365.4,,,,4,2015,746.0,0.22806481198410272,410
2016-03-01,Queens,10,3300.7,397.9,443.7,133.5,,,,4,2016,841.5999999999999,0.2549762171660557,410
2017-04-01,Queens,10,3382.6,378.6,463.2,128.2,,,,4,2017,841.8,0.2488618222668953,410
2016-04-01,Queens,10,3326.1,389.5,433.0,157.6,,,,4,2016,822.5,0.247286611947927,410
2016-02-01,Queens,10,2742.8,395.2,427.5,121.0,,,,4,2016,822.7,0.29994895726994314,410
2018-06-01,Queens,10,4006.4,407.0,536.7,92.7,,,,4,2018,943.7,0.2355481230031949,410
2016-09-01,Queens,10,3520.7,396.4,460.4,148.8,,,,4,2016,856.8,0.24336069531627233,410
2017-07-01,Queens,10,3851.0,404.0,510.1,111.0,,,,4,2017,914.1,0.2373669176837185,410
2016-12-01,Queens,14,2883.8,327.1,269.0,,,6.7,,4,2016,596.1,0.20670642901726888,414
2015-04-01,Queens,14,3199.4,218.6,190.1,,,,,4,2015,408.7,0.12774270175657934,414
2011-04-01,Queens,14,3038.6,247.7,198.7,,,,,4,2011,446.4,0.14690976107417889,414
2010-02-01,Queens,14,2068.5,185.4,137.7,,,,,4,2010,323.1,0.15620014503263235,414
2012-04-01,Queens,14,2819.0,205.2,187.2,,,,,4,2012,392.4,0.13919829726853494,414
2014-07-01,Queens,14,3717.8,238.5,209.0,,,,,4,2014,447.5,0.12036688364086287,414
2011-01-01,Queens,14,2732.5,224.5,175.7,,,,,4,2011,400.2,0.14645928636779507,414
2017-05-01,Queens,14,3326.5,242.2,253.3,,,,,4,2017,495.5,0.14895535848489402,414
2017-03-01,Queens,14,2705.5,228.9,223.8,,,,,4,2017,452.70000000000005,0.16732581777859917,414
2016-09-01,Queens,14,3188.2,256.8,251.8,,,,,4,2016,508.6,0.15952575120757795,414
2015-09-01,Queens,14,3218.1,232.7,204.0,,,,,4,2015,436.7,0.13570119014325224,414
2017-04-01,Queens,14,2909.8,234.2,255.1,,,,,4,2017,489.29999999999995,0.1681558870025431,414
2013-01-01,Brooklyn,2,2289.3,463.8,312.6,,,,49.4,3,2013,776.4000000000001,0.3391429694666492,302
2016-11-01,Brooklyn,2,2429.0,501.3,346.4,,32.5,23.4,,3,2016,847.7,0.3489913544668588,302
2010-06-01,Brooklyn,2,2350.3,441.7,300.8,,,,,3,2010,742.5,0.3159171169637918,302
2010-08-01,Brooklyn,2,2182.7,398.9,260.5,,,,,3,2010,659.4,0.3021029000778852,302
2009-11-01,Brooklyn,2,2156.7,397.9,247.2,,,,,3,2009,645.0999999999999,0.2991143877219826,302
2013-03-01,Brooklyn,2,2226.9,373.0,268.1,,,,,3,2013,641.1,0.28788899366832815,302
2009-05-01,Brooklyn,2,2257.5,412.2,287.2,,,,,3,2009,699.4,0.30981173864894795,302
2011-10-01,Brooklyn,2,2291.2,454.9,276.2,,,,,3,2011,731.0999999999999,0.31909043296089384,302
2013-04-01,Brooklyn,2,2384.6,376.2,267.9,,,,,3,2013,644.0999999999999,0.27010819424641447,302
2012-05-01,Brooklyn,2,2560.9,380.5,278.6,,,,,3,2012,659.1,0.2573704556991683,302
2017-03-01,Brooklyn,2,2297.4,470.0,363.0,,32.2,,,3,2017,833.0,0.36258379037172456,302
2017-08-01,Brooklyn,2,2448.5,544.3,360.0,53.5,,,,3,2017,904.3,0.36932816009801916,302
2016-09-01,Brooklyn,2,2403.3,490.4,340.3,,26.6,,,3,2016,830.7,0.34564973161902385,302
2018-06-01,Brooklyn,2,2536.3,543.1,392.6,79.3,18.6,,,3,2018,935.7,0.368923234633127,302
2018-09-01,Brooklyn,2,2431.6,542.1,371.3,60.7,30.2,,,3,2018,913.4000000000001,0.37563744036848173,302
2014-01-01,Bronx,11,2691.6,303.7,277.9,,,,25.8,2,2014,581.5999999999999,0.21607965522365877,211
2010-01-01,Bronx,11,2728.4,325.5,273.1,,,,8.6,2,2010,598.6,0.21939598299369595,211
