year,boro_cd,total_recycled,total_refuse,total_waste,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,poverty_rate
2011-01-01,309,4615.8,38737.4,43353.200000000004,10.646964929924433,11.156000924782058,-4.562889500366096,-0.5090359948576246,20.8
2012-01-01,309,4508.4,37559.8,42068.200000000004,10.716883536733206,11.156000924782058,-3.9361541022589153,-0.43911738804885125,20.8
2013-01-01,309,4640.099999999999,37083.4,41723.5,11.121070859347848,11.156000924782058,-0.31310561615870425,-0.03493006543421018,20.8
2014-01-01,309,4891.2,36633.7,41524.899999999994,11.778956722352133,11.156000924782058,5.584042182949567,0.622955797570075,20.8
2015-01-01,309,5053.5,35952.2,41005.7,12.32389643391041,11.156000924782058,10.468764900637261,1.1678955091283516,20.8
2016-01-01,309,5403.7,35520.299999999996,40923.99999999999,13.204232235363115,11.156000924782058,18.35990624589403,2.0482313105810572,20.8
2017-01-01,309,5659.700000000001,36292.4,41952.100000000006,13.49086219760155,11.156000924782058,20.929195762549703,2.3348612728194915,20.8
2018-01-01,309,5940.2,36126.3,42066.5,14.120975122722356,11.156000924782058,26.577392902091578,2.9649741979402986,20.8
2019-01-01,309,5162.999999999999,30588.299999999996,35751.299999999996,14.441432898943535,11.156000924782058,29.449907689261522,3.2854319741614777,20.8
2009-01-01,310,11419.0,40037.50000000001,51456.50000000001,22.191559861242016,22.191559861242016,0.0,0.0,19.0
2010-01-01,310,10813.5,39181.4,49994.9,21.629206179030263,22.191559861242016,-2.5340881205647703,-0.5623536822117536,19.0
2011-01-01,310,10754.000000000002,41061.2,51815.2,20.754527628958304,22.191559861242016,-6.475580091120669,-1.4370322322837126,19.0
2012-01-01,310,10349.399999999998,40043.9,50393.3,20.537253960347897,22.191559861242016,-7.454662543949409,-1.6543059008941192,19.0
2013-01-01,310,10561.0,39678.6,50239.6,21.021266092882907,22.191559861242016,-5.273598501757637,-1.1702937683591088,19.0
2014-01-01,310,10791.9,38949.399999999994,49741.299999999996,21.696055390590917,22.191559861242016,-2.2328510197091034,-0.4955044706510989,19.0
2015-01-01,310,11104.9,38544.600000000006,49649.50000000001,22.366589794459156,22.191559861242016,0.7887229843758448,0.17502993321713944,19.0
2016-01-01,310,11447.0,37989.5,49436.5,23.154956358156422,22.191559861242016,4.341274353575275,0.963396496914406,19.0
2017-01-01,310,11509.1,36873.5,48382.6,23.78768400209993,22.191559861242016,7.192482866630634,1.5961241408579134,19.0
2018-01-01,310,11512.8,37847.700000000004,49360.5,23.323912845291275,22.191559861242016,5.102629067670605,1.132352984049259,19.0
2019-01-01,310,9490.9,32910.8,42401.700000000004,22.38330066954862,22.191559861242016,0.8640258256089606,0.191740808306605,19.0
2009-01-01,311,13674.699999999999,57768.0,71442.7,19.1407939509565,19.1407939509565,0.0,0.0,22.5
2010-01-01,311,13004.9,56422.799999999996,69427.7,18.73157255677489,19.1407939509565,-2.1379541268253477,-0.4092213941816105,22.5
2011-01-01,311,12897.1,58205.299999999996,71102.4,18.13876887418709,19.1407939509565,-5.235023580196563,-1.00202507676941,22.5
2012-01-01,311,12235.900000000001,57358.80000000001,69594.70000000001,17.58165492487215,19.1407939509565,-8.145634032105741,-1.559139026084349,22.5
2013-01-01,311,12623.5,57134.1,69757.6,18.096236109040447,19.1407939509565,-5.457233616288182,-1.0445578419160526,22.5
2014-01-01,311,12878.8,57705.200000000004,70584.0,18.246061430352487,19.1407939509565,-4.674479663155773,-0.8947325206040126,22.5
2015-01-01,311,13079.599999999999,58371.80000000001,71451.40000000001,18.305589533585064,19.1407939509565,-4.363478440400326,-0.8352044173714361,22.5
2016-01-01,311,13402.1,58828.6,72230.7,18.554575824407074,19.1407939509565,-3.062663586742864,-0.5862181265494257,22.5
2017-01-01,311,13466.3,58485.80000000001,71952.1,18.715645547523977,19.1407939509565,-2.2211638896581842,-0.425148403432523,22.5
2018-01-01,311,13568.8,59460.1,73028.9,18.580041599969327,19.1407939509565,-2.9296190765333963,-0.5607523509871726,22.5
2019-01-01,311,11259.8,50463.4,61723.2,18.24241128133344,19.1407939509565,-4.693549661131835,-0.8983826696230608,22.5
2009-01-01,312,12301.000000000002,68338.29999999999,80639.29999999999,15.254348686062508,15.254348686062508,0.0,0.0,27.2
2010-01-01,312,11829.1,67045.7,78874.8,14.997312196037264,15.254348686062508,-1.6850046849924971,-0.25703649002524465,27.2
2011-01-01,312,12028.400000000001,70431.59999999999,82460.0,14.586951249090472,15.254348686062508,-4.375129025219016,-0.6673974369720366,27.2
2012-01-01,312,11734.2,69534.1,81268.3,14.438840236599018,15.254348686062508,-5.346071905440308,-0.8155084494634899,27.2
2013-01-01,312,11936.699999999999,69885.7,81822.4,14.588547879309333,15.254348686062508,-4.364662303553479,-0.6658008067531753,27.2
2014-01-01,312,12487.800000000003,71385.1,83872.90000000001,14.88895698133724,15.254348686062508,-2.3953281273760174,-0.36539170472526905,27.2
2015-01-01,312,12796.399999999998,72577.70000000001,85374.1,14.988620670671782,15.254348686062508,-1.7419820462968416,-0.2657280153907262,27.2
2016-01-01,312,13011.699999999999,73205.5,86217.2,15.091768231860927,15.254348686062508,-1.065797416510661,-0.1625804542015814,27.2
2017-01-01,312,12974.5,72764.79999999999,85739.29999999999,15.132500498604493,15.254348686062508,-0.7987767289556191,-0.12184818745801529,27.2
2018-01-01,312,13087.100000000002,72791.60000000002,85878.70000000003,15.239052291196767,15.254348686062508,-0.10027563405389239,-0.015296394865741192,27.2
2019-01-01,312,10866.599999999999,61213.799999999996,72080.4,15.075665506850683,15.254348686062508,-1.1713589540213065,-0.1786831792118253,27.2
2009-01-01,313,4152.900000000001,25583.5,29736.4,13.96571205660403,13.96571205660403,0.0,0.0,24.4
2010-01-01,313,4037.7,25088.399999999998,29126.1,13.862824065013854,13.96571205660403,-0.7367185516439334,-0.10288799159017614,24.4
2011-01-01,313,4015.7000000000003,26356.100000000002,30371.800000000003,13.221804437010649,13.96571205660403,-5.326671612433865,-0.7439076195933811,24.4
2012-01-01,313,3610.9999999999995,27661.9,31272.9,11.546738549990565,13.96571205660403,-17.32080324160481,-2.418973506613465,24.4
2013-01-01,313,3777.0,26774.9,30551.9,12.362569922001578,13.96571205660403,-11.479129228103812,-1.603142134602452,24.4
2014-01-01,313,3824.4,25515.2,29339.600000000002,13.034942535003886,13.96571205660403,-6.66467644347577,-0.9307695216001441,24.4
2015-01-01,313,4065.1000000000004,25021.6,29086.699999999997,13.975803374050685,13.96571205660403,0.07225780830761863,0.010091317446654813,24.4
2016-01-01,313,4483.8,24407.399999999998,28891.199999999997,15.519604585479318,13.96571205660403,11.126482649629676,1.5538925288752878,24.4
2017-01-01,313,4747.400000000001,24193.1,28940.5,16.404001313038822,13.96571205660403,17.459111619602584,2.4382892564347927,24.4
2018-01-01,313,4862.2,24899.9,29762.100000000002,16.336884830035515,13.96571205660403,16.97853116132535,2.3711727734314856,24.4
2019-01-01,313,4151.700000000001,20746.900000000005,24898.600000000006,16.674431494140233,13.96571205660403,19.395498249982303,2.708719437536203,24.4
2009-01-01,314,9426.400000000001,58484.3,67910.70000000001,13.880581410587729,13.880581410587729,0.0,0.0,21.5
2010-01-01,314,9128.900000000001,56939.8,66068.70000000001,13.81728413000407,13.880581410587729,-0.45601317921291074,-0.06329728058365802,21.5
2011-01-01,314,9185.399999999998,59634.50000000001,68819.90000000001,13.34701154753203,13.880581410587729,-3.8440022595069845,-0.533569863055698,21.5
2012-01-01,314,8905.5,58193.3,67098.8,13.272219473373593,13.880581410587729,-4.382827485526608,-0.608361937214136,21.5
2013-01-01,314,8760.199999999999,57476.6,66236.8,13.225578530363782,13.880581410587729,-4.718843259147121,-0.6550028802239467,21.5
2014-01-01,314,9089.7,57875.4,66965.1,13.573786942750775,13.880581410587729,-2.2102421992420185,-0.3067944678369532,21.5
2015-01-01,314,9274.900000000001,57363.5,66638.4,13.918251338567556,13.880581410587729,0.27138580773780063,0.03766992797982738,21.5
2016-01-01,314,9729.4,56993.1,66722.5,14.581887669077148,13.880581410587729,5.052427111983082,0.701306258489419,21.5
2017-01-01,314,9882.9,57408.2,67291.09999999999,14.686786216899414,13.880581410587729,5.808148682422876,0.8062048063116851,21.5
