Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
103 W 25 ST,1008010000,1085978,3,GOODWILL THRIFT SHOP - CHELSEA STORE,40.74447,-73.99217,Hudson Yards-Chelsea-Flatiron-Union Square,103,7,W 25 ST,10001,104,91,POINT (-73.9921732 40.74447370000001),11722,12,4,10,7
4747 VAN DAM ST,4002530000,4003448,26,GOODWILL OUTLET CENTER,40.74153,-73.93378,Hunters Point-Sunnyside-West Maspeth,4747,78,VAN DAM ST,11101,402,199,POINT (-73.9337864 40.741528599999995),16858,53,3,33,66
9319 5 AVE,3061090000,3155319,43,STAPLES,40.61661,-74.03003,Bay Ridge,9319,63,5 AVE,11209,310,160,POINT (-74.0300263 40.6166088),17216,10,2,44,41
675 3 AVE,1013160000,1037549,4,STAPLES,40.7509,-73.97391,Turtle Bay-East Midtown,675,24,3 AVE,10017,106,88,POINT (-73.973911 40.750900599999994),12079,71,4,51,9
9030 METROPOLITAN AVE,4038840000,4095021,29,STAPLES,40.71161,-73.85812,Glendale,9030,85,METROPOLITAN AVE,11374,406,637,POINT (-73.8581226 40.71160619999999),14785,40,3,28,70
5110 BROADWAY,4011530000,4000000,26,STAPLES,40.75386,-73.909,Woodside,5110,76,BROADWAY,11377,401,295,POINT (-73.9089981 40.753862300000016),14787,39,3,33,72
409 GATEWAY DRIVE,3044520000,3348830,42,STAPLES,40.65392,-73.87326,East New York,409,59,GATEWAY DRIVE,11239,305,1070,POINT (-73.8732584 40.6539242),17215,45,2,25,47
157 W 72 ST,1011440000,1029921,6,GOODWILL THRIFT SHOP - 72ND ST STORE,40.77847,-73.98057,Lincoln Square,157,26,W 72 ST,10023,107,157,POINT (-73.980571 40.77847299999999),12420,20,4,19,12
60 W 23 ST,1008240000,1086050,3,BEST BUY - 23RD AND 6TH NY�(STORE 482),40.74236,-73.99239,Hudson Yards-Chelsea-Flatiron-Union Square,60,11,W 23 ST,10010,105,58,POINT (-73.9923849 40.7423606),12073,11,4,10,7
1704 2 AVE,1015510000,1050067,5,GOODWILL THRIFT SHOP - STUYVESANT STORE,40.7793,-73.95029,Yorkville,1704,31,2 AVE,10128,108,14602,POINT (-73.950294 40.7793),10099,23,4,1,11
258 LIVINGSTON ST,3001650000,3329446,33,GOODWILL THRIFT SHOP - LIVINGSTON STORE,40.68875,-73.98421,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,258,54,LIVINGSTON ST,11201,302,37,POINT (-73.9842131 40.6887457),16865,68,2,38,54
6040 FRESH POND RD,4027440000,4061301,30,STAPLES,40.71583,-73.90184,Maspeth,6040,83,FRESH POND RD,11378,405,601,POINT (-73.9018412 40.7158271),14788,54,3,34,62
1520 FOREST AVE,5003940000,5011442,50,STAPLES,40.62386,-74.1392,Port Richmond,1520,93,FOREST AVE,10302,501,251,POINT (-74.1391954 40.62386099999999),10370,4,1,14,75
52 E 14 ST,1005650000,1009217,2,BEST BUY - UNION SQUARE NY�(STORE 1531),40.73441,-73.99043,West Village,52,2,E 14 ST,10003,102,61,POINT (-73.9904346 40.7344091),11724,57,4,50,5
442 5 AVE,1008410000,1016046,4,STAPLES,40.75191,-73.98256,Midtown-Midtown South,442,16,5 AVE,10018,105,84,POINT (-73.9825561 40.75191459999999),12080,11,4,51,8
1760 UTICA AVE,3077750000,3215584,45,STAPLES,40.62952,-73.92834,Flatlands,1760,71,UTICA AVE,11234,318,728,POINT (-73.928339 40.62952539999999),13825,5,2,26,38
776 8 AVE,1010190000,1086225,3,STAPLES,40.76048,-73.98709,Midtown-Midtown South,776,19,8 AVE,10036,105,125,POINT (-73.98709 40.7604799),13094,11,4,10,10
105 W 125 ST,1019108000,1085673,9,STAPLES,40.80833,-73.94587,Central Harlem South,105,34,W 125 ST,10027,110,222,POINT (-73.945866 40.8083328),12424,18,4,36,18
176 BEDFORD AVE,3023190000,3425153,33,SALVATION ARMY THRIFT STORE,40.71801,-73.95759,North Side-South Side,176,51,BEDFORD AVE,11249,301,553,POINT (-73.9575848 40.71800479999999),17613,36,2,38,57
3718 NOSTRAND AVE,3074221000,3000000,48,SALVATION ARMY THRIFT STORE,40.59273,-73.94079,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3718,68,NOSTRAND AVE,11235,315,59402,POINT (-73.940786 40.592733),13826,32,2,15,36
4109 PARK AVE,2029000000,2009448,15,SALVATION ARMY THRIFT STORE,40.84555,-73.90108,Mount Hope,4109,44,PARK AVE,10457,206,231,POINT (-73.901079 40.84555300000001),10935,35,5,22,31
390 6 AVE,1005530000,1008935,1,STAPLES,40.73318,-73.99951,West Village,390,6,6 AVE,10011,102,63,POINT (-73.9995147 40.733176699999994),12074,57,4,32,3
